Date,Open,High,Low,Close,Volume,Ticker,SMA_10,SMA_50,RSI_14,Daily_Return,Target
2021-07-13 00:00:00-04:00,140.69493468649964,141.42622149805706,140.03396885001305,140.3503875732422,2019207,MMM,139.8750442504883,140.68934967041017,59.72099772590538,-0.0018999486952000488,1
2021-07-14 00:00:00-04:00,141.0394907412971,142.8677078860949,140.63868682257308,142.62159729003906,2939409,MMM,140.3531936645508,140.76910034179687,72.38147811404079,0.016182425685227653,0
2021-07-15 00:00:00-04:00,141.63717590879472,142.57940000969887,141.0043256107492,142.4528350830078,2557885,MMM,140.63164825439452,140.83472564697266,70.5236074447823,-0.0011832864744043547,0
2021-07-16 00:00:00-04:00,142.82548815598008,142.8887641932357,139.86519362940572,140.1886444091797,2959024,MMM,140.65133514404297,140.82630859375,59.444005784398094,-0.01589431809137931,0
2021-07-19 00:00:00-04:00,139.07764946136632,139.60501820816248,137.1931887325235,138.91592407226562,3762975,MMM,140.48749389648438,140.77889587402345,52.16153835261466,-0.00907862646277735,1
2021-07-20 00:00:00-04:00,139.46438979744715,142.1926379681766,139.27453602107963,141.20822143554688,3328827,MMM,140.76383209228516,140.7681155395508,58.76963735600994,0.016501328977150065,0
2021-07-21 00:00:00-04:00,141.42622312520857,142.6567503770421,140.60351903659367,141.17308044433594,2390924,MMM,140.82781982421875,140.69716064453124,54.32156761010975,-0.0002488593854783616,0
2021-07-22 00:00:00-04:00,141.6933948688888,141.79184421962637,139.70346555220732,139.97769165039062,2033798,MMM,140.88407135009766,140.6526950073242,49.9614819315622,-0.008467540625896053,1
2021-07-23 00:00:00-04:00,140.99024522410122,141.36292069595032,139.8862958346754,140.97618103027344,1878557,MMM,140.84821166992188,140.6959069824219,51.126837030491366,0.007133203642024855,1
2021-07-26 00:00:00-04:00,140.94805892933022,142.5582937037905,140.58242837038046,141.80592346191406,2881403,MMM,140.96704864501953,140.6923342895508,59.6370614207788,0.005885692360062089,0
2021-07-27 00:00:00-04:00,138.66984574566283,141.37701107450698,137.05259147886866,140.96214294433594,3587880,MMM,141.0282241821289,140.65834381103517,51.324400036559865,-0.0059502487412294025,0
2021-07-28 00:00:00-04:00,140.1534974830424,140.89181637002218,139.29564577431248,139.42221069335938,2558364,MMM,140.70828552246093,140.58336395263672,50.021167704236206,-0.01092443842588764,0
2021-07-29 00:00:00-04:00,140.6316349779364,140.6316349779364,139.18313849368903,139.34486389160156,2535759,MMM,140.39748840332032,140.53587463378906,43.26520958201343,-0.000554766714522481,0
2021-07-30 00:00:00-04:00,139.2253615253073,140.09727765861908,138.6628449223689,139.1831817626953,2284719,MMM,140.29694213867188,140.49115447998048,44.95573530690152,-0.001160302033320959,0
2021-08-02 00:00:00-04:00,139.97771552957897,141.12387045779246,138.83157343366048,138.8878173828125,1593670,MMM,140.29413146972655,140.43307342529297,44.866751139906754,-0.002122126941934699,1
2021-08-03 00:00:00-04:00,139.6050622354301,142.18565001059244,138.80346713370974,141.35592651367188,2641007,MMM,140.30890197753905,140.42140228271484,45.61837780616207,0.017770522838994607,0
2021-08-04 00:00:00-04:00,140.91290711527066,141.20119742850034,138.66280288871104,138.89483642578125,2460172,MMM,140.0810775756836,140.34996154785156,39.36976356788112,-0.017410590051578745,1
2021-08-05 00:00:00-04:00,139.61208567728693,140.01288961944294,138.72610544490306,139.084716796875,1883939,MMM,139.99178009033204,140.29497497558594,46.23514681714909,0.0013670801304064284,1
2021-08-06 00:00:00-04:00,139.35190242981204,140.10427267842755,138.90890596509706,139.31674194335938,1334975,MMM,139.82583618164062,140.24645721435547,51.47140210033856,0.0016682289170795173,0
2021-08-09 00:00:00-04:00,138.97923249885736,139.33081171286284,138.3674785069863,138.8245391845703,1427187,MMM,139.52769775390624,140.1647506713867,39.91689117752989,-0.003532976381181663,1
2021-08-10 00:00:00-04:00,139.39408803745016,140.2730360742214,139.01439326469264,140.10427856445312,1911686,MMM,139.44191131591796,140.11145141601563,45.90960426903119,0.009218394582108935,1
2021-08-11 00:00:00-04:00,140.63163348502485,141.8762248086482,140.14645729643772,141.735595703125,2652010,MMM,139.67324981689453,140.0885287475586,56.510417255323915,0.01164359258251646,0
2021-08-12 00:00:00-04:00,141.67233943270972,142.29815770312675,140.88480856117732,141.63719177246094,1473233,MMM,139.90248260498046,140.06237182617187,52.62293017386902,-0.0006942781746244187,0
2021-08-13 00:00:00-04:00,141.49652230468422,141.83403730293554,140.8355565024666,141.0394744873047,2285197,MMM,140.0881118774414,140.018916015625,46.90163190177994,-0.004220058853725894,1
